z,bits,convergence_n
2,128,70
2,160,107
2,192,154
2,224,206
2,256,263
2,320,406
2,384,585
2,448,793
2,512,1017
2,640,1582
2,768,2268
2,896,3081
2,1024,4007
2,1280,6241
2,1536,8993
2,1792,12178
2,2048,15879
2,2560,24853
2,3072,35634
2,3584,48472
2,4096,63250
2,5120,98763
2,6144,142226
2,7168,193408
2,8192,252486
2.25,128,57
2.25,160,86
2.25,192,124
2.25,224,162
2.25,256,212
2.25,320,333
2.25,384,462
2.25,448,622
2.25,512,809
2.25,640,1255
2.25,768,1798
2.25,896,2437
2.25,1024,3173
2.25,1280,4937
2.25,1536,7096
2.25,1792,9635
2.25,2048,12571
2.25,2560,19613
2.25,3072,28173
2.25,3584,38329
2.25,4096,50056
2.25,5120,78098
2.25,6144,112525
