x,y_expected,y_actual,error(abs),error(rate)
-10,-1.00000000000000000000e0,-1,2.08848758e-45,2.08848758e-45
-9.9990234375,-1.00000000000000000000e0,-1,2.12988325e-45,2.12988325e-45
-9.998046875,-1.00000000000000000000e0,-1,2.17209528e-45,2.17209528e-45
-9.9970703125,-1.00000000000000000000e0,-1,2.21513972e-45,2.21513972e-45
-9.99609375,-1.00000000000000000000e0,-1,2.25903287e-45,2.25903287e-45
-9.9951171875,-1.00000000000000000000e0,-1,2.30379140e-45,2.30379140e-45
-9.994140625,-1.00000000000000000000e0,-1,2.34943228e-45,2.34943228e-45
-9.9931640625,-1.00000000000000000000e0,-1,2.39597280e-45,2.39597280e-45
-9.9921875,-1.00000000000000000000e0,-1,2.44343063e-45,2.44343063e-45
-9.9912109375,-1.00000000000000000000e0,-1,2.49182374e-45,2.49182374e-45
-9.990234375,-1.00000000000000000000e0,-1,2.54117047e-45,2.54117047e-45
-9.9892578125,-1.00000000000000000000e0,-1,2.59148951e-45,2.59148951e-45
-9.98828125,-1.00000000000000000000e0,-1,2.64279994e-45,2.64279994e-45
-9.9873046875,-1.00000000000000000000e0,-1,2.69512117e-45,2.69512117e-45
-9.986328125,-1.00000000000000000000e0,-1,2.74847302e-45,2.74847302e-45
-9.9853515625,-1.00000000000000000000e0,-1,2.80287570e-45,2.80287570e-45
-9.984375,-1.00000000000000000000e0,-1,2.85834978e-45,2.85834978e-45
-9.9833984375,-1.00000000000000000000e0,-1,2.91491626e-45,2.91491626e-45
-9.982421875,-1.00000000000000000000e0,-1,2.97259655e-45,2.97259655e-45
-9.9814453125,-1.00000000000000000000e0,-1,3.03141246e-45,3.03141246e-45
-9.98046875,-1.00000000000000000000e0,-1,3.09138623e-45,3.09138623e-45
-9.9794921875,-1.00000000000000000000e0,-1,3.15254055e-45,3.15254055e-45
-9.978515625,-1.00000000000000000000e0,-1,3.21489854e-45,3.21489854e-45
-9.9775390625,-1.00000000000000000000e0,-1,3.27848375e-45,3.27848375e-45
-9.9765625,-1.00000000000000000000e0,-1,3.34332023e-45,3.34332023e-45
-9.9755859375,-1.00000000000000000000e0,-1,3.40943246e-45,3.40943246e-45
-9.974609375,-1.00000000000000000000e0,-1,3.47684543e-45,3.47684543e-45
-9.9736328125,-1.00000000000000000000e0,-1,3.54558459e-45,3.54558459e-45
-9.97265625,-1.00000000000000000000e0,-1,3.61567589e-45,3.61567589e-45
-9.9716796875,-1.00000000000000000000e0,-1,3.68714581e-45,3.68714581e-45
-9.970703125,-1.00000000000000000000e0,-1,3.76002131e-45,3.76002131e-45
-9.9697265625,-1.00000000000000000000e0,-1,3.83432991e-45,3.83432991e-45
-9.96875,-1.00000000000000000000e0,-1,3.91009962e-45,3.91009962e-45
-9.9677734375,-1.00000000000000000000e0,-1,3.98735905e-45,3.98735905e-45
-9.966796875,-1.00000000000000000000e0,-1,4.06613732e-45,4.06613732e-45
-9.9658203125,-1.00000000000000000000e0,-1,4.14646414e-45,4.14646414e-45
-9.96484375,-1.00000000000000000000e0,-1,4.22836981e-45,4.22836981e-45
-9.9638671875,-1.00000000000000000000e0,-1,4.31188518e-45,4.31188518e-45
-9.962890625,-1.00000000000000000000e0,-1,4.39704173e-45,4.39704173e-45
-9.9619140625,-1.00000000000000000000e0,-1,4.48387155e-45,4.48387155e-45
-9.9609375,-1.00000000000000000000e0,-1,4.57240735e-45,4.57240735e-45
-9.9599609375,-1.00000000000000000000e0,-1,4.66268248e-45,4.66268248e-45
-9.958984375,-1.00000000000000000000e0,-1,4.75473092e-45,4.75473092e-45
-9.9580078125,-1.00000000000000000000e0,-1,4.84858734e-45,4.84858734e-45
-9.95703125,-1.00000000000000000000e0,-1,4.94428705e-45,4.94428705e-45
-9.9560546875,-1.00000000000000000000e0,-1,5.04186609e-45,5.04186609e-45
-9.955078125,-1.00000000000000000000e0,-1,5.14136116e-45,5.14136116e-45
-9.9541015625,-1.00000000000000000000e0,-1,5.24280969e-45,5.24280969e-45
-9.953125,-1.00000000000000000000e0,-1,5.34624985e-45,5.34624985e-45
-9.9521484375,-1.00000000000000000000e0,-1,5.45172052e-45,5.45172052e-45
-9.951171875,-1.00000000000000000000e0,-1,5.55926136e-45,5.55926136e-45
-9.9501953125,-1.00000000000000000000e0,-1,5.66891279e-45,5.66891279e-45
-9.94921875,-1.00000000000000000000e0,-1,5.78071604e-45,5.78071604e-45
-9.9482421875,-1.00000000000000000000e0,-1,5.89471309e-45,5.89471309e-45
-9.947265625,-1.00000000000000000000e0,-1,6.01094678e-45,6.01094678e-45
-9.9462890625,-1.00000000000000000000e0,-1,6.12946077e-45,6.12946077e-45
-9.9453125,-1.00000000000000000000e0,-1,6.25029957e-45,6.25029957e-45
-9.9443359375,-1.00000000000000000000e0,-1,6.37350853e-45,6.37350853e-45
-9.943359375,-1.00000000000000000000e0,-1,6.49913391e-45,6.49913391e-45
-9.9423828125,-1.00000000000000000000e0,-1,6.62722286e-45,6.62722286e-45
-9.94140625,-1.00000000000000000000e0,-1,6.75782344e-45,6.75782344e-45
-9.9404296875,-1.00000000000000000000e0,-1,6.89098464e-45,6.89098464e-45
-9.939453125,-1.00000000000000000000e0,-1,7.02675642e-45,7.02675642e-45
-9.9384765625,-1.00000000000000000000e0,-1,7.16518968e-45,7.16518968e-45
-9.9375,-1.00000000000000000000e0,-1,7.30633634e-45,7.30633634e-45
-9.9365234375,-1.00000000000000000000e0,-1,7.45024929e-45,7.45024929e-45
-9.935546875,-1.00000000000000000000e0,-1,7.59698247e-45,7.59698247e-45
-9.9345703125,-1.00000000000000000000e0,-1,7.74659088e-45,7.74659088e-45
-9.93359375,-1.00000000000000000000e0,-1,7.89913055e-45,7.89913055e-45
-9.9326171875,-1.00000000000000000000e0,-1,8.05465862e-45,8.05465862e-45
-9.931640625,-1.00000000000000000000e0,-1,8.21323334e-45,8.21323334e-45
-9.9306640625,-1.00000000000000000000e0,-1,8.37491407e-45,8.37491407e-45
-9.9296875,-1.00000000000000000000e0,-1,8.53976135e-45,8.53976135e-45
-9.9287109375,-1.00000000000000000000e0,-1,8.70783686e-45,8.70783686e-45
-9.927734375,-1.00000000000000000000e0,-1,8.87920351e-45,8.87920351e-45
-9.9267578125,-1.00000000000000000000e0,-1,9.05392539e-45,9.05392539e-45
-9.92578125,-1.00000000000000000000e0,-1,9.23206787e-45,9.23206787e-45
-9.9248046875,-1.00000000000000000000e0,-1,9.41369756e-45,9.41369756e-45
-9.923828125,-1.00000000000000000000e0,-1,9.59888238e-45,9.59888238e-45
-9.9228515625,-1.00000000000000000000e0,-1,9.78769155e-45,9.78769155e-45
-9.921875,-1.00000000000000000000e0,-1,9.98019563e-45,9.98019563e-45
-9.9208984375,-1.00000000000000000000e0,-1,1.01764666e-44,1.01764666e-44
-9.919921875,-1.00000000000000000000e0,-1,1.03765777e-44,1.03765777e-44
-9.9189453125,-1.00000000000000000000e0,-1,1.05806037e-44,1.05806037e-44
-9.91796875,-1.00000000000000000000e0,-1,1.07886209e-44,1.07886209e-44
-9.9169921875,-1.00000000000000000000e0,-1,1.10007068e-44,1.10007068e-44
-9.916015625,-1.00000000000000000000e0,-1,1.12169407e-44,1.12169407e-44
-9.9150390625,-1.00000000000000000000e0,-1,1.14374033e-44,1.14374033e-44
-9.9140625,-1.00000000000000000000e0,-1,1.16621768e-44,1.16621768e-44
-9.9130859375,-1.00000000000000000000e0,-1,1.18913451e-44,1.18913451e-44
-9.912109375,-1.00000000000000000000e0,-1,1.21249937e-44,1.21249937e-44
-9.9111328125,-1.00000000000000000000e0,-1,1.23632097e-44,1.23632097e-44
-9.91015625,-1.00000000000000000000e0,-1,1.26060819e-44,1.26060819e-44
