z,bits,n
0,128,1
0,160,1
0,192,1
0,224,1
0,256,1
0,320,1
0,384,1
0,448,1
0,512,1
0,640,1
0,768,1
0,896,1
0,1024,1
0,1280,1
0,1536,1
0,1792,1
0,2048,1
0,2560,1
0,3072,1
0,3584,1
0,4096,1
0,5120,1
0,6144,1
0,7168,1
0,8192,1
0.25,128,19
0.25,160,22
0.25,192,26
0.25,224,30
0.25,256,33
0.25,320,40
0.25,384,47
0.25,448,53
0.25,512,60
0.25,640,73
0.25,768,85
0.25,896,97
0.25,1024,109
0.25,1280,133
0.25,1536,156
0.25,1792,178
0.25,2048,200
0.25,2560,243
0.25,3072,286
0.25,3584,328
0.25,4096,369
0.25,5120,450
0.25,6144,529
0.25,7168,607
0.25,8192,683
0.5,128,24
0.5,160,29
0.5,192,34
0.5,224,38
0.5,256,42
0.5,320,51
0.5,384,59
0.5,448,67
0.5,512,75
0.5,640,90
0.5,768,105
0.5,896,119
0.5,1024,134
0.5,1280,162
0.5,1536,188
0.5,1792,215
0.5,2048,241
0.5,2560,292
0.5,3072,341
0.5,3584,390
0.5,4096,438
0.5,5120,532
0.5,6144,623
0.5,7168,713
0.5,8192,802
0.75,128,29
0.75,160,34
0.75,192,39
0.75,224,45
0.75,256,50
0.75,320,59
0.75,384,69
0.75,448,78
0.75,512,87
0.75,640,104
0.75,768,121
0.75,896,137
0.75,1024,153
0.75,1280,184
0.75,1536,214
0.75,1792,244
0.75,2048,273
0.75,2560,329
0.75,3072,384
0.75,3584,439
0.75,4096,491
0.75,5120,594
0.75,6144,695
0.75,7168,793
0.75,8192,891
1,128,34
1,160,40
1,192,45
1,224,51
1,256,57
1,320,67
1,384,78
1,448,88
1,512,97
1,640,116
1,768,135
1,896,153
1,1024,170
1,1280,204
1,1536,237
1,1792,269
1,2048,301
1,2560,361
1,3072,421
1,3584,479
1,4096,536
1,5120,647
1,6144,756
1,7168,861
1,8192,966
1.25,128,38
1.25,160,45
1.25,192,51
1.25,224,58
1.25,256,64
1.25,320,75
1.25,384,86
1.25,448,97
1.25,512,108
1.25,640,129
1.25,768,148
1.25,896,167
1.25,1024,186
1.25,1280,222
1.25,1536,258
1.25,1792,292
1.25,2048,325
1.25,2560,391
1.25,3072,454
1.25,3584,516
1.25,4096,577
1.25,5120,695
1.25,6144,810
1.25,7168,922
1.25,8192,1032
1.5,128,44
1.5,160,50
1.5,192,57
1.5,224,64
1.5,256,70
1.5,320,83
1.5,384,95
1.5,448,107
1.5,512,118
1.5,640,140
1.5,768,161
1.5,896,182
1.5,1024,201
1.5,1280,240
1.5,1536,277
1.5,1792,314
1.5,2048,349
1.5,2560,418
1.5,3072,485
