x,y_expected,y_actual,error(abs),error(rate)
-10,2.00000000000000000000e0,2,2.08848758e-45,1.04424379e-45
-9.9990234375,2.00000000000000000000e0,2,2.12988325e-45,1.06494162e-45
-9.998046875,2.00000000000000000000e0,2,2.17209528e-45,1.08604764e-45
-9.9970703125,2.00000000000000000000e0,2,2.21513972e-45,1.10756986e-45
-9.99609375,2.00000000000000000000e0,2,2.25903287e-45,1.12951644e-45
-9.9951171875,2.00000000000000000000e0,2,2.30379140e-45,1.15189570e-45
-9.994140625,2.00000000000000000000e0,2,2.34943228e-45,1.17471614e-45
-9.9931640625,2.00000000000000000000e0,2,2.39597280e-45,1.19798640e-45
-9.9921875,2.00000000000000000000e0,2,2.44343063e-45,1.22171531e-45
-9.9912109375,2.00000000000000000000e0,2,2.49182374e-45,1.24591187e-45
-9.990234375,2.00000000000000000000e0,2,2.54117047e-45,1.27058523e-45
-9.9892578125,2.00000000000000000000e0,2,2.59148951e-45,1.29574476e-45
-9.98828125,2.00000000000000000000e0,2,2.64279994e-45,1.32139997e-45
-9.9873046875,2.00000000000000000000e0,2,2.69512117e-45,1.34756058e-45
-9.986328125,2.00000000000000000000e0,2,2.74847302e-45,1.37423651e-45
-9.9853515625,2.00000000000000000000e0,2,2.80287570e-45,1.40143785e-45
-9.984375,2.00000000000000000000e0,2,2.85834978e-45,1.42917489e-45
-9.9833984375,2.00000000000000000000e0,2,2.91491626e-45,1.45745813e-45
-9.982421875,2.00000000000000000000e0,2,2.97259655e-45,1.48629827e-45
-9.9814453125,2.00000000000000000000e0,2,3.03141246e-45,1.51570623e-45
-9.98046875,2.00000000000000000000e0,2,3.09138623e-45,1.54569312e-45
-9.9794921875,2.00000000000000000000e0,2,3.15254055e-45,1.57627028e-45
-9.978515625,2.00000000000000000000e0,2,3.21489854e-45,1.60744927e-45
-9.9775390625,2.00000000000000000000e0,2,3.27848375e-45,1.63924187e-45
-9.9765625,2.00000000000000000000e0,2,3.34332023e-45,1.67166011e-45
-9.9755859375,2.00000000000000000000e0,2,3.40943246e-45,1.70471623e-45
-9.974609375,2.00000000000000000000e0,2,3.47684543e-45,1.73842271e-45
-9.9736328125,2.00000000000000000000e0,2,3.54558459e-45,1.77279229e-45
-9.97265625,2.00000000000000000000e0,2,3.61567589e-45,1.80783795e-45
-9.9716796875,2.00000000000000000000e0,2,3.68714581e-45,1.84357291e-45
-9.970703125,2.00000000000000000000e0,2,3.76002131e-45,1.88001066e-45
-9.9697265625,2.00000000000000000000e0,2,3.83432991e-45,1.91716495e-45
-9.96875,2.00000000000000000000e0,2,3.91009962e-45,1.95504981e-45
-9.9677734375,2.00000000000000000000e0,2,3.98735905e-45,1.99367952e-45
-9.966796875,2.00000000000000000000e0,2,4.06613732e-45,2.03306866e-45
-9.9658203125,2.00000000000000000000e0,2,4.14646414e-45,2.07323207e-45
-9.96484375,2.00000000000000000000e0,2,4.22836981e-45,2.11418490e-45
-9.9638671875,2.00000000000000000000e0,2,4.31188518e-45,2.15594259e-45
-9.962890625,2.00000000000000000000e0,2,4.39704173e-45,2.19852086e-45
-9.9619140625,2.00000000000000000000e0,2,4.48387155e-45,2.24193578e-45
-9.9609375,2.00000000000000000000e0,2,4.57240735e-45,2.28620368e-45
-9.9599609375,2.00000000000000000000e0,2,4.66268248e-45,2.33134124e-45
-9.958984375,2.00000000000000000000e0,2,4.75473092e-45,2.37736546e-45
-9.9580078125,2.00000000000000000000e0,2,4.84858734e-45,2.42429367e-45
-9.95703125,2.00000000000000000000e0,2,4.94428705e-45,2.47214353e-45
-9.9560546875,2.00000000000000000000e0,2,5.04186609e-45,2.52093305e-45
-9.955078125,2.00000000000000000000e0,2,5.14136116e-45,2.57068058e-45
-9.9541015625,2.00000000000000000000e0,2,5.24280969e-45,2.62140485e-45
-9.953125,2.00000000000000000000e0,2,5.34624985e-45,2.67312492e-45
-9.9521484375,2.00000000000000000000e0,2,5.45172052e-45,2.72586026e-45
-9.951171875,2.00000000000000000000e0,2,5.55926136e-45,2.77963068e-45
-9.9501953125,2.00000000000000000000e0,2,5.66891279e-45,2.83445640e-45
-9.94921875,2.00000000000000000000e0,2,5.78071604e-45,2.89035802e-45
-9.9482421875,2.00000000000000000000e0,2,5.89471309e-45,2.94735654e-45
-9.947265625,2.00000000000000000000e0,2,6.01094678e-45,3.00547339e-45
-9.9462890625,2.00000000000000000000e0,2,6.12946077e-45,3.06473039e-45
-9.9453125,2.00000000000000000000e0,2,6.25029957e-45,3.12514978e-45
-9.9443359375,2.00000000000000000000e0,2,6.37350853e-45,3.18675426e-45
-9.943359375,2.00000000000000000000e0,2,6.49913391e-45,3.24956696e-45
-9.9423828125,2.00000000000000000000e0,2,6.62722286e-45,3.31361143e-45
-9.94140625,2.00000000000000000000e0,2,6.75782344e-45,3.37891172e-45
-9.9404296875,2.00000000000000000000e0,2,6.89098464e-45,3.44549232e-45
-9.939453125,2.00000000000000000000e0,2,7.02675642e-45,3.51337821e-45
-9.9384765625,2.00000000000000000000e0,2,7.16518968e-45,3.58259484e-45
-9.9375,2.00000000000000000000e0,2,7.30633634e-45,3.65316817e-45
-9.9365234375,2.00000000000000000000e0,2,7.45024929e-45,3.72512464e-45
-9.935546875,2.00000000000000000000e0,2,7.59698247e-45,3.79849124e-45
-9.9345703125,2.00000000000000000000e0,2,7.74659088e-45,3.87329544e-45
-9.93359375,2.00000000000000000000e0,2,7.89913055e-45,3.94956527e-45
-9.9326171875,2.00000000000000000000e0,2,8.05465862e-45,4.02732931e-45
-9.931640625,2.00000000000000000000e0,2,8.21323334e-45,4.10661667e-45
-9.9306640625,2.00000000000000000000e0,2,8.37491407e-45,4.18745704e-45
-9.9296875,2.00000000000000000000e0,2,8.53976135e-45,4.26988067e-45
-9.9287109375,2.00000000000000000000e0,2,8.70783686e-45,4.35391843e-45
-9.927734375,2.00000000000000000000e0,2,8.87920351e-45,4.43960175e-45
-9.9267578125,2.00000000000000000000e0,2,9.05392539e-45,4.52696269e-45
-9.92578125,2.00000000000000000000e0,2,9.23206787e-45,4.61603393e-45
-9.9248046875,2.00000000000000000000e0,2,9.41369756e-45,4.70684878e-45
-9.923828125,2.00000000000000000000e0,2,9.59888238e-45,4.79944119e-45
-9.9228515625,2.00000000000000000000e0,2,9.78769155e-45,4.89384577e-45
-9.921875,2.00000000000000000000e0,2,9.98019563e-45,4.99009782e-45
-9.9208984375,2.00000000000000000000e0,2,1.01764666e-44,5.08823328e-45
-9.919921875,2.00000000000000000000e0,2,1.03765777e-44,5.18828884e-45
-9.9189453125,2.00000000000000000000e0,2,1.05806037e-44,5.29030186e-45
-9.91796875,2.00000000000000000000e0,2,1.07886209e-44,5.39431044e-45
-9.9169921875,2.00000000000000000000e0,2,1.10007068e-44,5.50035342e-45
-9.916015625,2.00000000000000000000e0,2,1.12169407e-44,5.60847037e-45
-9.9150390625,2.00000000000000000000e0,2,1.14374033e-44,5.71870166e-45
-9.9140625,2.00000000000000000000e0,2,1.16621768e-44,5.83108841e-45
-9.9130859375,2.00000000000000000000e0,2,1.18913451e-44,5.94567255e-45
-9.912109375,2.00000000000000000000e0,2,1.21249937e-44,6.06249684e-45
-9.9111328125,2.00000000000000000000e0,2,1.23632097e-44,6.18160483e-45
-9.91015625,2.00000000000000000000e0,2,1.26060819e-44,6.30304093e-45
-9.9091796875,2.00000000000000000000e0,2,1.28537008e-44,6.42685042e-45
-9.908203125,2.00000000000000000000e0,2,1.31061589e-44,6.55307943e-45
-9.9072265625,2.00000000000000000000e0,2,1.33635500e-44,6.68177502e-45
-9.90625,2.00000000000000000000e0,2,1.36259702e-44,6.81298512e-45
-9.9052734375,2.00000000000000000000e0,2,1.38935172e-44,6.94675861e-45
-9.904296875,2.00000000000000000000e0,2,1.41662906e-44,7.08314531e-45
-9.9033203125,2.00000000000000000000e0,2,1.44443920e-44,7.22219601e-45
-9.90234375,2.00000000000000000000e0,2,1.47279249e-44,7.36396246e-45
-9.9013671875,2.00000000000000000000e0,2,1.50169949e-44,7.50849743e-45
-9.900390625,2.00000000000000000000e0,2,1.53117094e-44,7.65585470e-45
-9.8994140625,2.00000000000000000000e0,2,1.56121782e-44,7.80608911e-45
-9.8984375,2.00000000000000000000e0,2,1.59185131e-44,7.95925654e-45
-9.8974609375,2.00000000000000000000e0,2,1.62308279e-44,8.11541394e-45
-9.896484375,2.00000000000000000000e0,2,1.65492388e-44,8.27461938e-45
-9.8955078125,2.00000000000000000000e0,2,1.68738641e-44,8.43693204e-45
-9.89453125,2.00000000000000000000e0,2,1.72048245e-44,8.60241226e-45
-9.8935546875,2.00000000000000000000e0,2,1.75422431e-44,8.77112153e-45
-9.892578125,2.00000000000000000000e0,2,1.78862451e-44,8.94312253e-45
-9.8916015625,2.00000000000000000000e0,2,1.82369583e-44,9.11847915e-45
-9.890625,2.00000000000000000000e0,2,1.85945130e-44,9.29725651e-45
-9.8896484375,2.00000000000000000000e0,2,1.89590420e-44,9.47952100e-45
-9.888671875,2.00000000000000000000e0,2,1.93306806e-44,9.66534027e-45
-9.8876953125,2.00000000000000000000e0,2,1.97095666e-44,9.85478331e-45
-9.88671875,2.00000000000000000000e0,2,2.00958408e-44,1.00479204e-44
-9.8857421875,2.00000000000000000000e0,2,2.04896465e-44,1.02448232e-44
-9.884765625,2.00000000000000000000e0,2,2.08911296e-44,1.04455648e-44
-9.8837890625,2.00000000000000000000e0,2,2.13004392e-44,1.06502196e-44
-9.8828125,2.00000000000000000000e0,2,2.17177269e-44,1.08588635e-44
-9.8818359375,2.00000000000000000000e0,2,2.21431475e-44,1.10715738e-44
-9.880859375,2.00000000000000000000e0,2,2.25768587e-44,1.12884294e-44
-9.8798828125,2.00000000000000000000e0,2,2.30190212e-44,1.15095106e-44
-9.87890625,2.00000000000000000000e0,2,2.34697987e-44,1.17348994e-44
-9.8779296875,2.00000000000000000000e0,2,2.39293584e-44,1.19646792e-44
-9.876953125,2.00000000000000000000e0,2,2.43978703e-44,1.21989352e-44
-9.8759765625,2.00000000000000000000e0,2,2.48755080e-44,1.24377540e-44
-9.875,2.00000000000000000000e0,2,2.53624483e-44,1.26812242e-44
-9.8740234375,2.00000000000000000000e0,2,2.58588715e-44,1.29294357e-44
-9.873046875,2.00000000000000000000e0,2,2.63649611e-44,1.31824806e-44
-9.8720703125,2.00000000000000000000e0,2,2.68809045e-44,1.34404523e-44
-9.87109375,2.00000000000000000000e0,2,2.74068926e-44,1.37034463e-44
-9.8701171875,2.00000000000000000000e0,2,2.79431198e-44,1.39715599e-44
-9.869140625,2.00000000000000000000e0,2,2.84897845e-44,1.42448922e-44
-9.8681640625,2.00000000000000000000e0,2,2.90470887e-44,1.45235443e-44
-9.8671875,2.00000000000000000000e0,2,2.96152384e-44,1.48076192e-44
-9.8662109375,2.00000000000000000000e0,2,3.01944436e-44,1.50972218e-44
-9.865234375,2.00000000000000000000e0,2,3.07849183e-44,1.53924591e-44
-9.8642578125,2.00000000000000000000e0,2,3.13868805e-44,1.56934403e-44
-9.86328125,2.00000000000000000000e0,2,3.20005527e-44,1.60002764e-44
-9.8623046875,2.00000000000000000000e0,2,3.26261615e-44,1.63130807e-44
-9.861328125,2.00000000000000000000e0,2,3.32639377e-44,1.66319688e-44
-9.8603515625,2.00000000000000000000e0,2,3.39141168e-44,1.69570584e-44
-9.859375,2.00000000000000000000e0,2,3.45769387e-44,1.72884693e-44
-9.8583984375,2.00000000000000000000e0,2,3.52526480e-44,1.76263240e-44
-9.857421875,2.00000000000000000000e0,2,3.59414939e-44,1.79707469e-44
