z,bits,convergence_n
2,128,70
2,256,263
2,512,1017
2,1024,4007
2,2048,15879
2,4096,63250
3,128,36
3,256,124
3,512,473
3,1024,1807
3,2048,7109
3,4096,28220
4,128,22
4,256,75
4,512,276
4,1024,1036
4,2048,4042
4,4096,15952
5,128,16
5,256,52
5,512,182
5,1024,681
5,2048,2617
5,4096,10274
6,128,13
6,256,40
6,512,134
6,1024,486
6,2048,1845
6,4096,7191
7,128,11
7,256,32
7,512,104
7,1024,369
7,2048,1382
7,4096,5328
8,128,10
8,256,27
8,512,85
8,1024,293
8,2048,1077
8,4096,4128
9,128,8
9,256,23
9,512,72
9,1024,241
9,2048,870
9,4096,3294
10,128,8
10,256,21
10,512,62
10,1024,204
10,2048,721
10,4096,2701
11,128,7
11,256,19
11,512,55
11,1024,175
11,2048,611
11,4096,2263
12,128,7
12,256,18
12,512,49
12,1024,154
12,2048,528
12,4096,1931
13,128,6
13,256,16
13,512,45
13,1024,138
13,2048,462
13,4096,1671
14,128,6
14,256,15
14,512,41
14,1024,124
14,2048,411
14,4096,1465
15,128,6
15,256,14
15,512,39
15,1024,114
15,2048,368
15,4096,1299
16,128,6
16,256,14
16,512,36
16,1024,105
16,2048,336
16,4096,1165
17,128,6
17,256,13
17,512,34
17,1024,97
17,2048,306
17,4096,1050
18,128,5
18,256,13
18,512,32
18,1024,91
18,2048,281
18,4096,955
19,128,5
19,256,12
19,512,31
19,1024,86
19,2048,261
19,4096,874
20,128,5
20,256,12
20,512,30
20,1024,81
20,2048,244
20,4096,805
21,128,5
21,256,11
21,512,29
21,1024,77
21,2048,229
21,4096,747
22,128,5
22,256,11
22,512,28
22,1024,73
22,2048,216
22,4096,695
23,128,5
23,256,11
23,512,27
23,1024,70
23,2048,204
23,4096,650
24,128,5
24,256,11
24,512,26
24,1024,68
24,2048,194
24,4096,612
25,128,5
25,256,10
25,512,25
25,1024,65
25,2048,185
25,4096,576
26,128,4
26,256,10
26,512,24
26,1024,63
26,2048,177
26,4096,545
27,128,4
27,256,10
27,512,24
27,1024,61
27,2048,169
27,4096,517
28,128,4
28,256,10
28,512,23
28,1024,59
28,2048,163
28,4096,492
29,128,4
29,256,10
29,512,23
29,1024,57
29,2048,157
29,4096,470
30,128,4
30,256,9
30,512,22
30,1024,56
30,2048,152
30,4096,450
31,128,4
31,256,9
31,512,22
31,1024,55
31,2048,147
31,4096,432
32,128,4
32,256,9
32,512,22
32,1024,53
32,2048,143
32,4096,415
33,128,4
33,256,9
33,512,21
33,1024,52
33,2048,138
33,4096,400
34,128,4
34,256,9
34,512,21
34,1024,51
34,2048,134
34,4096,386
35,128,4
35,256,9
35,512,20
35,1024,50
35,2048,131
35,4096,374
36,128,4
36,256,9
36,512,20
36,1024,49
36,2048,128
36,4096,361
37,128,4
37,256,9
37,512,20
37,1024,48
37,2048,125
37,4096,350
38,128,4
38,256,8
38,512,20
38,1024,47
38,2048,122
38,4096,340
39,128,4
39,256,8
39,512,19
39,1024,47
39,2048,119
39,4096,330
40,128,4
40,256,8
40,512,19
40,1024,46
40,2048,117
40,4096,322
41,128,4
41,256,8
41,512,19
41,1024,45
41,2048,114
41,4096,313
42,128,4
42,256,8
42,512,19
42,1024,44
42,2048,112
42,4096,305
43,128,4
43,256,8
43,512,18
43,1024,44
43,2048,110
43,4096,298
44,128,4
44,256,8
44,512,18
44,1024,43
44,2048,108
44,4096,292
45,128,4
45,256,8
45,512,18
45,1024,43
45,2048,106
45,4096,285
46,128,4
46,256,8
46,512,18
46,1024,42
46,2048,105
46,4096,279
47,128,4
47,256,8
47,512,18
47,1024,42
47,2048,103
47,4096,274
48,128,4
48,256,8
48,512,17
48,1024,41
48,2048,102
48,4096,269
49,128,4
49,256,8
49,512,17
49,1024,41
49,2048,100
49,4096,263
50,128,4
50,256,8
50,512,17
50,1024,40
50,2048,99
50,4096,259
51,128,4
51,256,8
51,512,17
51,1024,40
51,2048,97
51,4096,254
52,128,3
52,256,7
52,512,17
52,1024,39
52,2048,96
52,4096,250
53,128,3
53,256,7
53,512,17
53,1024,39
53,2048,95
53,4096,246
54,128,3
54,256,7
54,512,17
54,1024,39
54,2048,94
54,4096,242
55,128,3
55,256,7
55,512,16
55,1024,38
55,2048,93
55,4096,238
56,128,3
56,256,7
56,512,16
56,1024,38
56,2048,92
56,4096,235
57,128,3
57,256,7
57,512,16
57,1024,37
57,2048,90
57,4096,231
58,128,3
58,256,7
58,512,16
58,1024,37
58,2048,90
58,4096,228
59,128,3
59,256,7
59,512,16
59,1024,37
59,2048,89
59,4096,225
60,128,3
60,256,7
60,512,16
60,1024,36
60,2048,88
60,4096,222
61,128,3
61,256,7
61,512,16
61,1024,36
61,2048,87
61,4096,219
62,128,3
62,256,7
62,512,16
62,1024,36
62,2048,86
62,4096,217
63,128,3
63,256,7
63,512,15
63,1024,36
63,2048,85
63,4096,214
64,128,3
64,256,7
64,512,15
64,1024,35
64,2048,84
64,4096,212
65,128,3
65,256,7
65,512,15
65,1024,35
65,2048,84
65,4096,209
66,128,3
66,256,7
66,512,15
66,1024,35
66,2048,83
66,4096,207
67,128,3
67,256,7
67,512,15
67,1024,35
67,2048,82
67,4096,204
68,128,3
68,256,7
68,512,15
68,1024,34
68,2048,82
68,4096,202
69,128,3
69,256,7
69,512,15
69,1024,34
69,2048,81
69,4096,200
70,128,3
70,256,7
70,512,15
70,1024,34
70,2048,80
70,4096,198
71,128,3
71,256,7
71,512,15
71,1024,34
71,2048,80
71,4096,196
72,128,3
72,256,7
72,512,15
72,1024,33
72,2048,79
72,4096,194
73,128,3
73,256,7
73,512,15
73,1024,33
73,2048,78
73,4096,193
74,128,3
74,256,7
74,512,15
74,1024,33
74,2048,78
74,4096,191
75,128,3
75,256,7
75,512,14
75,1024,33
75,2048,77
75,4096,189
76,128,3
76,256,7
76,512,14
76,1024,33
76,2048,77
76,4096,188
77,128,3
77,256,7
77,512,14
77,1024,32
77,2048,76
77,4096,186
78,128,3
78,256,7
78,512,14
78,1024,32
78,2048,76
78,4096,185
79,128,3
79,256,7
79,512,14
79,1024,32
79,2048,75
79,4096,183
80,128,3
80,256,6
80,512,14
80,1024,32
80,2048,75
80,4096,181
81,128,3
81,256,7
81,512,14
81,1024,32
81,2048,74
81,4096,180
82,128,3
82,256,6
82,512,14
82,1024,32
82,2048,74
82,4096,179
83,128,3
83,256,6
83,512,14
83,1024,31
83,2048,73
83,4096,177
84,128,3
84,256,6
84,512,14
84,1024,31
84,2048,73
84,4096,176
85,128,3
85,256,6
85,512,14
85,1024,31
85,2048,72
85,4096,175
86,128,3
86,256,6
86,512,14
86,1024,31
86,2048,72
86,4096,174
87,128,3
87,256,6
87,512,14
87,1024,31
87,2048,72
87,4096,172
88,128,3
88,256,6
88,512,14
88,1024,31
88,2048,71
88,4096,171
89,128,3
89,256,6
89,512,14
89,1024,31
89,2048,71
89,4096,170
90,128,3
90,256,6
90,512,14
90,1024,30
90,2048,70
90,4096,169
91,128,3
91,256,6
91,512,14
91,1024,30
91,2048,70
91,4096,168
92,128,3
92,256,6
92,512,13
92,1024,30
92,2048,70
92,4096,167
93,128,3
93,256,6
93,512,13
93,1024,30
93,2048,69
93,4096,166
94,128,3
94,256,6
94,512,13
94,1024,30
94,2048,69
94,4096,165
95,128,3
95,256,6
95,512,13
95,1024,30
95,2048,69
95,4096,164
96,128,3
96,256,6
96,512,13
96,1024,30
96,2048,68
96,4096,163
97,128,3
97,256,6
97,512,13
97,1024,30
97,2048,68
97,4096,162
98,128,3
98,256,6
98,512,13
98,1024,29
98,2048,68
98,4096,161
99,128,3
99,256,6
99,512,13
99,1024,29
99,2048,67
99,4096,160
100,128,3
100,256,6
100,512,13
100,1024,29
100,2048,67
100,4096,159
