z,y_true,y_approx,mp_error,double_error
2.2070312499999995E-05,1.9559305193150813553663872949067069e-5,1.955930519315081E-05,2.1263272429495154926530516393904322e-21,3.3881317890172014E-21
2.3070312500000006E-05,2.0445532118958215616145713134923486e-5,2.044553211895822E-05,-3.1058717510290523445896340137687899e-21,-3.3881317890172014E-21
2.4070312500000003E-05,2.1331759044797721434791781032081408e-5,2.133175904479772E-05,3.0337879117724347017207789811939052e-21,3.3881317890172014E-21
2.50703125E-05,2.2217985970670735102220016605594125e-5,2.2217985970670737E-05,-1.7655590049227410681651436736757493e-21,0
2.6070312499999998E-05,2.310421289657864870043425002583048e-5,2.3104212896578646E-05,2.3847167770892398981698806249619194e-21,3.3881317890172014E-21
2.7070312499999995E-05,2.3990439822522854311438695207941611e-5,2.3990439822522853E-05,1.4919270295849658837724178236300828e-21,3.3881317890172014E-21
2.8070312500000006E-05,2.4876666748504756027852446189221257e-5,2.4876666748504752E-05,3.7383937715147718447516638713753632e-21,3.3881317890172014E-21
2.9070312500000003E-05,2.576289367452572191045156869238449e-5,2.5762893674525717E-05,4.9915185166348235619095441087678953e-21,3.3881317890172014E-21
3.00703125E-05,2.6649120600587156051856000257847749e-5,2.6649120600587156E-05,-1.1890302867022673686524817046477018e-22,0
3.10703125E-05,2.7535347526690450534071642847303251e-5,2.753534752669045E-05,1.5194969075603611647450792174669545e-21,0
3.2070312499999994E-05,2.8421574452836997439104858700931526e-5,2.8421574452836995E-05,2.6902958234626076537302916813169582e-21,3.3881317890172014E-21
3.3070312500000005E-05,2.9307801379028200859576969598494382e-5,2.9307801379028203E-05,-1.9767091903394896702778574969951682e-21,-3.3881317890172014E-21
3.40703125E-05,3.0194028305265428856266336982014443e-5,3.0194028305265425E-05,3.7146764097327506622151122630559523e-21,3.3881317890172014E-21
3.50703125E-05,3.1080255231550085521795279107457412e-5,3.108025523155009E-05,-2.5464082343064766348638802106197307e-21,-6.776263578034403E-21
3.60703125E-05,3.1966482157883562938172152396369595e-5,3.196648215788356E-05,5.9049342600322281651497575730425586e-21,6.776263578034403E-21
3.7070312499999994E-05,3.2852709084267253187405850082491949e-5,3.285270908426725E-05,1.5234931877752377397431953479767851e-21,0
3.8070312500000005E-05,3.3738936010702560362120304828241455e-5,3.373893601070256E-05,-7.3214101546758699932631004999949578e-22,0
3.90703125E-05,3.4625162937190852523096555520168554e-5,3.462516293719085E-05,5.1698335042753591645873571994162874e-21,6.776263578034403E-21
4.00703125E-05,3.5511389863733533762959684269976034e-5,3.551138986373353E-05,7.0829540199256120977322879517504174e-21,6.776263578034403E-21
4.1070312499999996E-05,3.6397616790331996163720884627596741e-5,3.6397616790331995E-05,1.1789346499461458630984472883552336e-21,0
4.2070312499999993E-05,3.7283843716987631807391963488864901e-5,3.7283843716987635E-05,-2.81798271778535867468976278567046e-21,0
4.3070312500000004E-05,3.8170070643701844786599847539041637e-5,3.8170070643701835E-05,1.0050795346363803535183186075240408e-20,1.3552527156068805E-20
4.40703125E-05,3.9056297570476003162128634834427377e-5,3.9056297570476E-05,5.1594922873285714254638247463674434e-21,6.776263578034403E-21
4.50703125E-05,3.9942524497311511026606554482651778e-5,3.994252449731151E-05,4.2429664151984212924637922638398675e-21,6.776263578034403E-21
4.6070312499999996E-05,4.082875142420976046204801983056871e-5,4.082875142420975E-05,1.0249198646267650933400966798500559e-20,6.776263578034403E-21
4.7070312500000007E-05,4.1714978351172155561082628642652083e-5,4.171497835117215E-05,4.255467191076164625283522636452118e-21,6.776263578034403E-21
4.8070312500000004E-05,4.2601205278200064384497201153163746e-5,4.260120527820005E-05,1.2622370419046487130913230942515134e-20,1.3552527156068805E-20
4.90703125E-05,4.3487432205294891024922759927412987e-5,4.348743220529489E-05,2.8746608094505526809050686920898737e-21,6.776263578034403E-21
5.00703125E-05,4.4373659132458027564376569671136853e-5,4.437365913245802E-05,5.0653764420791530972240894752483387e-21,0
5.1070312499999995E-05,4.5259886059690866084876646196647005e-5,4.5259886059690864E-05,1.8137111015888358340286492008726836e-21,0
5.2070312500000006E-05,4.6146112986994810679056270943607186e-5,4.614611298699481E-05,1.3020009943323058484134142138935734e-21,0
5.30703125E-05,4.7032339914371229407706010421434834e-5,4.703233991437123E-05,2.7857939238696326439792893212844032e-21,6.776263578034403E-21
5.40703125E-05,4.7918566841821526363460723843713547e-5,4.791856684182152E-05,7.671164096293038321662858845352996e-21,6.776263578034403E-21
5.50703125E-05,4.8804793769347093628341584516469417e-5,4.8804793769347095E-05,-1.4226915462472152366011708211520656e-21,0
5.6070312499999995E-05,4.9691020696949323284370593386011241e-5,4.969102069694932E-05,5.5572698122802355452928416557508982e-21,6.776263578034403E-21
5.7070312500000006E-05,5.0577247624629619424185098707388211e-5,5.057724762462961E-05,9.6883341329058702242253993604757858e-21,1.3552527156068805E-20
5.80703125E-05,5.146347455238935010857979499040233e-5,5.1463474552389353E-05,-3.3264738088786625564696305617824719e-21,-6.776263578034403E-21
