x,y_expected,y_actual,error(abs),error(rate)
5.562684646268003E-309,2.65693410335354631525e1,26.569341033535466,2.46016193e-15,9.25940138e-17
1.1125369292536007E-308,2.65563029415321441679e1,26.55630294153215,4.59682078e-15,1.73097166e-16
2.2250738585072014E-308,2.65432584542509813825e1,26.54325845425098,1.32617695e-16,4.99628542e-18
4.450147717014403E-308,2.65302075622763761443e1,26.530207562276377,1.18672152e-15,4.47309549e-17
8.900295434028806E-308,2.65171502561696097275e1,26.517150256169607,2.42445765e-15,9.14297965e-17
1.7800590868057611E-307,2.65040865264687637896e1,26.50408652646876,2.72485585e-15,1.02808895e-16
3.5601181736115222E-307,2.64910163636886404774e1,26.491016363688637,3.81848031e-15,1.44142462e-16
7.120236347223045E-307,2.64779397583206821785e1,26.477939758320684,1.51561366e-15,5.72406190e-17
1.424047269444609E-306,2.64648567008328909168e1,26.464856700832893,2.29360261e-15,8.66659750e-17
2.848094538889218E-306,2.64517671816697473902e1,26.451767181669744,3.00151258e-15,1.13471155e-16
5.696189077778436E-306,2.64386711912521296487e1,26.43867119125213,2.95241196e-16,1.11670210e-17
1.1392378155556871E-305,2.64255687199772314099e1,26.425568719977232,3.69759494e-16,1.39924895e-17
2.2784756311113742E-305,2.64124597582184800122e1,26.41245975821847,8.76143932e-15,3.31716145e-16
4.5569512622227484E-305,2.63993442963254540004e1,26.399344296325456,1.87151707e-15,7.08925587e-17
9.113902524445497E-305,2.63862223246238003454e1,26.38622232462381,8.44277355e-15,3.19969014e-16
1.8227805048890994E-304,2.63730938334151512924e1,26.373093833415155,3.27081428e-15,1.24020879e-16
3.645561009778199E-304,2.63599588129770408391e1,26.35995881297704,1.81449452e-16,6.88352564e-18
7.291122019556398E-304,2.63468172535628208385e1,26.346817253562822,1.16475140e-15,4.42084290e-17
1.4582244039112795E-303,2.63336691454015767270e1,26.333669145401572,4.61774017e-15,1.75354985e-16
2.916448807822559E-303,2.63205144786980428739e1,26.320514478698044,1.18465708e-15,4.50088877e-17
5.832897615645118E-303,2.63073532436325175514e1,26.30735324363252,1.92801183e-15,7.32879441e-17
1.1665795231290236E-302,2.62941854303607775222e1,26.294185430360777,5.88360357e-16,2.23760633e-17
2.3331590462580472E-302,2.62810110290139922430e1,26.281011029013985,6.90685843e-15,2.62807942e-16
4.6663180925160944E-302,2.62678300296986376819e1,26.26783002969864,2.32228611e-15,8.84079921e-17
9.332636185032189E-302,2.62546424224964097471e1,26.25464242249641,1.45455727e-16,5.54019076e-18
1.8665272370064378E-301,2.62414481974641373254e1,26.24144819746413,6.83809790e-15,2.60583861e-16
3.7330544740128755E-301,2.62282473446336949278e1,26.228247344633697,2.29672158e-15,8.75667195e-17
7.466108948025751E-301,2.62150398540119149399e1,26.215039854011913,2.21657469e-15,8.45535502e-17
1.4932217896051502E-300,2.62018257155804994761e1,26.201825715580497,2.03160528e-15,7.75367831e-17
2.9864435792103004E-300,2.61886049192959318339e1,26.188604919295933,1.53704792e-15,5.86914775e-17
5.972887158420601E-300,2.61753774550893875463e1,26.17537745508939,1.85388680e-15,7.08255995e-17
1.1945774316841202E-299,2.61621433128666450320e1,26.162143312866647,1.70623701e-15,6.52177838e-17
2.3891548633682403E-299,2.61489024825079958381e1,26.148902482508,3.58492614e-15,1.37096620e-16
4.778309726736481E-299,2.61356549538681544752e1,26.135654953868162,7.47857950e-15,2.86144714e-16
9.556619453472961E-299,2.61224007167761678427e1,26.122400716776166,1.57976419e-15,6.04754596e-17
1.9113238906945923E-298,2.61091397610353242400e1,26.109139761035326,1.94826956e-15,7.46202125e-17
3.8226477813891845E-298,2.60958720764230619639e1,26.095872076423067,4.97924126e-15,1.90805705e-16
7.645295562778369E-298,2.60825976526908774879e1,26.082597652690875,2.10962354e-15,8.08824169e-17
1.5290591125556738E-297,2.60693164795642332223e1,26.069316479564232,7.41828608e-16,2.84560053e-17
3.0581182251113476E-297,2.60560285467424648515e1,26.05602854674246,4.24608799e-15,1.62959907e-16
6.116236450222695E-297,2.60427338438986882478e1,26.04273384389869,3.25586216e-15,1.25019984e-16
1.223247290044539E-296,2.60294323606797059580e1,26.029432360679703,3.06217252e-15,1.17642693e-16
2.446494580089078E-296,2.60161240867059132605e1,26.016124086705915,1.65901036e-15,6.37685441e-17
4.892989160178156E-296,2.60028090115712037916e1,26.002809011571205,1.59705232e-15,6.14184536e-17
9.785978320356312E-296,2.59894871248428747370e1,25.989487124842878,3.08177521e-15,1.18577762e-16
1.9571956640712625E-295,2.59761584160615315872e1,25.976158416061526,5.16332213e-15,1.98771583e-16
3.914391328142525E-295,2.59628228747409924541e1,25.96282287474099,2.52281501e-15,9.71702893e-17
7.82878265628505E-295,2.59494804903681919462e1,25.949480490368195,3.31615624e-15,1.27792779e-16
1.56575653125701E-294,2.59361312524030845995e1,25.936131252403086,1.87839895e-15,7.24240224e-17
3.13151306251402E-294,2.59227751502785478625e1,25.922775150278547,1.24386398e-15,4.79834422e-17
6.26302612502804E-294,2.59094121734002846323e1,25.90941217340028,4.16646996e-15,1.60809127e-16
1.252605225005608E-293,2.58960423111467253385e1,25.896042311146722,3.16834898e-15,1.22348772e-16
2.505210450011216E-293,2.58826655528689295746e1,25.882665552868932,2.64930892e-15,1.02358426e-16
5.010420900022432E-293,2.58692818878904872708e1,25.869281887890487,5.50397758e-17,2.12761127e-18
1.0020841800044864E-292,2.58558913055074194098e1,25.85589130550742,5.76256986e-16,2.22872606e-17
2.004168360008973E-292,2.58424937949880782788e1,25.842493794988076,1.86222871e-15,7.20607199e-17
4.008336720017946E-292,2.58290893455730472585e1,25.82908934557305,1.77170892e-15,6.85935497e-17
8.016673440035891E-292,2.58156779464750401448e1,25.815677946475045,4.84563946e-15,1.87701422e-16
1.6033346880071782E-291,2.58022595868787999997e1,25.8022595868788,9.45700507e-16,3.66518484e-17
3.2066693760143564E-291,2.57888342559409975318e1,25.788834255940998,2.32122111e-16,9.00087647e-18
6.413338752028713E-291,2.57754019427901289994e1,25.775401942790133,3.63728595e-15,1.41114616e-16
1.2826677504057426E-290,2.57619626365264136378e1,25.761962636526412,1.14211740e-15,4.43334780e-17
2.5653355008114852E-290,2.57485163262216906046e1,25.748516326221694,3.01289840e-15,1.17012505e-16
5.1306710016229703E-290,2.57350630009193154429e1,25.735063000919315,7.96502215e-16,3.09500783e-17
1.0261342003245941E-289,2.57216026496340560569e1,25.721602649634065,8.56210410e-15,3.32875996e-16
2.0522684006491881E-289,2.57081352613519882005e1,25.70813526135199,2.91823522e-15,1.13514076e-16
4.1045368012983762E-289,2.56946608250303904726e1,25.694660825030386,4.40829591e-15,1.71564666e-16
8.209073602596753E-289,2.56811793295976388187e1,25.681179329597633,5.87550356e-15,2.28786361e-16
1.6418147205193505E-288,2.56676907639531005350e1,25.667690763953093,7.41014135e-15,2.88695287e-16
3.283629441038701E-288,2.56541951169670277723e1,25.654195116967028,7.12495386e-17,2.77730556e-18
6.567258882077402E-288,2.56406923774804505367e1,25.640692377480455,4.84056761e-15,1.88784591e-16
1.3134517764154804E-287,2.56271825343050691842e1,25.627182534305067,1.97669302e-15,7.71326704e-17
2.626903552830961E-287,2.56136655762231464065e1,25.61366557622315,2.02811048e-15,7.91807980e-17
5.253807105661922E-287,2.56001414919873987049e1,25.6001414919874,2.14972494e-15,8.39731662e-17
1.0507614211323843E-286,2.55866102703208873496e1,25.58661027032089,2.17680740e-15,8.50760368e-17
2.1015228422647686E-286,2.55730718999169088200e1,25.57307189991691,2.50038450e-15,9.77741160e-17
4.2030456845295373E-286,2.55595263694388847258e1,25.55952636943889,3.61217115e-15,1.41323869e-16
8.406091369059075E-286,2.55459736675202512031e1,25.545973667520247,4.08407250e-15,1.59871476e-16
1.681218273811815E-285,2.55324137827643477836e1,25.532413782764348,1.96249530e-16,7.68628975e-18
3.36243654762363E-285,2.55188467037443057343e1,25.518846703744302,3.87174427e-15,1.51720974e-16
6.72487309524726E-285,2.55052724190029358639e1,25.50527241900294,2.86912714e-15,1.12491531e-16
1.344974619049452E-284,2.54916909170526157924e1,25.491690917052615,4.30801533e-16,1.68996845e-17
2.689949238098904E-284,2.54781021863751766825e1,25.47810218637518,5.07657906e-15,1.99252637e-16
5.379898476197808E-284,2.54645062154217894273e1,25.46450621542179,4.90109814e-16,1.92467826e-17
1.0759796952395615E-283,2.54509029926128502930e1,25.450902992612853,3.08859468e-15,1.21355014e-16
2.151959390479123E-283,2.54372925063378660127e1,25.437292506337865,8.07183087e-16,3.17322721e-17
4.303918780958246E-283,2.54236747449553383277e1,25.42367474495534,8.38251208e-17,3.29712843e-18
