pade approximant f(x^2) f(x):=inverf(x)/x

range x in [0, 0.5]
expected
series x = 0
0,8.86226925452758013649083741670572591398774728061193564106903894926455642295516091e-1
1,2.32013666534654493553534082588284820917234349595135162948069825784572730568658154e-1
2,1.27556175305597958253999741415730079636756023408551315253460375350893933950974168e-1
3,8.65521292415475337296417926290601946651049916136197835873924994460678394609682575e-2
4,6.49596177453854133820146686203173992044411034906057713767676595261098224125573676e-2
5,5.17312819846163741126318858899526349359969200260297859915308227913354378815204118e-2
6,4.28367206517973498446514882625052397787486144945771829076366830237366963793999429e-2
7,3.64659293085316263255797672438372551971896528338159208286414542809930887053148170e-2
8,3.16890050216054468096094684642829018994884164277157085089950148056579447150474527e-2
9,2.79806329649952247334306672426876040182083531241974102550426543485368520314153239e-2
10,2.50222758411983494571693091056003229738991405925504720234515000620803125014609649e-2
11,2.26098633188975744328165865718251657819914135455093589925355793993148952984376622e-2
12,2.06067803790590017187687996535046739049265803222166772577944809179151860921088824e-2
13,1.89182172507788544634987763909773736480341470621022332219228308119316239651138800e-2
14,1.74763705628565461904296152043635846685152225719039796964961938577326545017383283e-2
15,1.62315009876852512752949643781057424889561285325962186721428711598527941175067782e-2
16,1.51463150632478055203853890478058649444486060037643451680006567948726439121129285e-2
17,1.41923160025099641511536000567456416817845988847994043827861721786698932049055048e-2
18,1.33473641974212971503472085589414199702413997255805156613452683452351783914558816e-2
19,1.25940048713320698415966954189558143969771676107702318810959507553919205065156710e-2
20,1.19182959363920398738582235117634402023868325114178404686684705098856860641648382e-2
21,1.13089701059225367722250977080071868283387677291017067782117547363161396849592353e-2
22,1.07568253033179575777906130792661618904694303572634615120533606149874417890313418e-2
23,1.02542740818534682140955515600895043725620620749681527958941944652138810713127228e-2
24,9.79500577007117565181260102700561007837758533143668854795099931619548980793996315e-3
25,9.37372981918208151683293422895434964568815308488382742023051176825301128488912588e-3
26,8.98597850284337808803762382873980441634726157306625575470151413272577863261555726e-3
27,8.62795358070943465254096201583804867215581126867955266967632241435200887119999794e-3
28,8.29640592773924140441196611920250993649194452867832211993197803275639926771099562e-3
29,7.98854016260335483777318952347119297197155885870013422243017230241532812799330886e-3
30,7.70193843225976116636877072199558376169742862796967247705368442508520383458845241e-3
31,7.43449901783153060384200627892848843602466255903526104620714315754835559189195170e-3
32,7.18438651126831244411641406323765810801552075935350075329016405037374001906976634e-3
33,6.94999110106471485712048425186738152041032776169790407822207249716295974553588928e-3
34,6.72989508534152981827641221928871431115988424781484483487541844653734163985827596e-3
35,6.52284516145006176434931493027003633284404744911389801765962468208598873410043310e-3
36,6.32772936434314323001827584771490677129545826564690543394211353152974928223198928e-3
37,6.14355777038415591689448848072698775544133723555294099046519739260013648060219686e-3
38,5.96944626973445629437315740720070532390188676629697691042297778164669469171065894e-3
39,5.80460285383430176030077966382059372597454005349140665358122393614393226151065082e-3
40,5.64831597555156001751388623801789956778554337854046934134710200752310486857862194e-3
41,5.49994462620396350840386378318081825280097631332292116968699732269652790161007430e-3
42,5.35890984168644547028915340024074999164072260676889732557820425626782060734651824e-3
43,5.22468740368749060984355064261115741287013801757945176196567776904929547155862991e-3
